filename,class_id
class_00_000.png,0
class_00_001.png,0
class_01_000.png,1
class_01_001.png,1
class_02_000.png,2
class_02_001.png,2
class_03_000.png,3
class_03_001.png,3
class_04_000.png,4
class_04_001.png,4
class_05_000.png,5
class_05_001.png,5
class_06_000.png,6
class_06_001.png,6
class_07_000.png,7
class_07_001.png,7
class_08_000.png,8
class_08_001.png,8
class_09_000.png,9
class_09_001.png,9
class_10_000.png,10
class_10_001.png,10
class_11_000.png,11
class_11_001.png,11
class_12_000.png,12
class_12_001.png,12
class_13_000.png,13
class_13_001.png,13
class_14_000.png,14
class_14_001.png,14
class_15_000.png,15
class_15_001.png,15
class_16_000.png,16
class_16_001.png,16
class_17_000.png,17
class_17_001.png,17
class_18_000.png,18
class_18_001.png,18
class_19_000.png,19
class_19_001.png,19
class_20_000.png,20
class_20_001.png,20
class_21_000.png,21
class_21_001.png,21
class_22_000.png,22
class_22_001.png,22
class_23_000.png,23
class_23_001.png,23
class_24_000.png,24
class_24_001.png,24
class_25_000.png,25
class_25_001.png,25
class_26_000.png,26
class_26_001.png,26
class_27_000.png,27
class_27_001.png,27
class_28_000.png,28
class_28_001.png,28
class_29_000.png,29
class_29_001.png,29
class_30_000.png,30
class_30_001.png,30
class_31_000.png,31
class_31_001.png,31
class_32_000.png,32
class_32_001.png,32
class_33_000.png,33
class_33_001.png,33
class_34_000.png,34
class_34_001.png,34
class_35_000.png,35
class_35_001.png,35
class_36_000.png,36
class_36_001.png,36
class_37_000.png,37
class_37_001.png,37
class_38_000.png,38
class_38_001.png,38
class_39_000.png,39
class_39_001.png,39
class_40_000.png,40
class_40_001.png,40
class_41_000.png,41
class_41_001.png,41
class_42_000.png,42
class_42_001.png,42
class_43_000.png,43
class_43_001.png,43
class_44_000.png,44
class_44_001.png,44
class_45_000.png,45
class_45_001.png,45
class_46_000.png,46
class_46_001.png,46
class_47_000.png,47
class_47_001.png,47
class_48_000.png,48
class_48_001.png,48
class_49_000.png,49
class_49_001.png,49
class_50_000.png,50
class_50_001.png,50
class_51_000.png,51
class_51_001.png,51
class_52_000.png,52
class_52_001.png,52
class_53_000.png,53
class_53_001.png,53
class_54_000.png,54
class_54_001.png,54
class_55_000.png,55
class_55_001.png,55
class_56_000.png,56
class_56_001.png,56
class_57_000.png,57
class_57_001.png,57
class_58_000.png,58
class_58_001.png,58
class_59_000.png,59
class_59_001.png,59
class_60_000.png,60
class_60_001.png,60
class_61_000.png,61
class_61_001.png,61
class_62_000.png,62
class_62_001.png,62
class_63_000.png,63
class_63_001.png,63
class_64_000.png,64
class_64_001.png,64
class_65_000.png,65
class_65_001.png,65
class_66_000.png,66
class_66_001.png,66
class_67_000.png,67
class_67_001.png,67
class_68_000.png,68
class_68_001.png,68
class_69_000.png,69
class_69_001.png,69
class_70_000.png,70
class_70_001.png,70
class_71_000.png,71
class_71_001.png,71
class_72_000.png,72
class_72_001.png,72
class_73_000.png,73
class_73_001.png,73
class_74_000.png,74
class_74_001.png,74
class_75_000.png,75
class_75_001.png,75
class_76_000.png,76
class_76_001.png,76
class_77_000.png,77
class_77_001.png,77
class_78_000.png,78
class_78_001.png,78
class_79_000.png,79
class_79_001.png,79
class_80_000.png,80
class_80_001.png,80
class_81_000.png,81
class_81_001.png,81
class_82_000.png,82
class_82_001.png,82
class_83_000.png,83
class_83_001.png,83
class_84_000.png,84
class_84_001.png,84
class_85_000.png,85
class_85_001.png,85
class_86_000.png,86
class_86_001.png,86
class_87_000.png,87
class_87_001.png,87
class_88_000.png,88
class_88_001.png,88
class_89_000.png,89
class_89_001.png,89
class_90_000.png,90
class_90_001.png,90
class_91_000.png,91
class_91_001.png,91
class_92_000.png,92
class_92_001.png,92
class_93_000.png,93
class_93_001.png,93
class_94_000.png,94
class_94_001.png,94
class_95_000.png,95
class_95_001.png,95
class_96_000.png,96
class_96_001.png,96
class_97_000.png,97
class_97_001.png,97
class_98_000.png,98
class_98_001.png,98
class_99_000.png,99
class_99_001.png,99
class_100_000.png,100
class_100_001.png,100
class_101_000.png,101
class_101_001.png,101
class_102_000.png,102
class_102_001.png,102
class_103_000.png,103
class_103_001.png,103
class_104_000.png,104
class_104_001.png,104
class_105_000.png,105
class_105_001.png,105
class_106_000.png,106
class_106_001.png,106
class_107_000.png,107
class_107_001.png,107
class_108_000.png,108
class_108_001.png,108
class_109_000.png,109
class_109_001.png,109
class_110_000.png,110
class_110_001.png,110
class_111_000.png,111
class_111_001.png,111
class_112_000.png,112
class_112_001.png,112
class_113_000.png,113
class_113_001.png,113
class_114_000.png,114
class_114_001.png,114
class_115_000.png,115
class_115_001.png,115
class_116_000.png,116
class_116_001.png,116
class_117_000.png,117
class_117_001.png,117
class_118_000.png,118
class_118_001.png,118
class_119_000.png,119
class_119_001.png,119
class_120_000.png,120
class_120_001.png,120
